Room #,Room Name,Type
1,Cartmel,Disabled Twin
2,Windermere,Standard Double
3,Ravenglass,Standard Double
4,Kirkstone,Disabled Double
5,Ambleside,Family
6,Keswick,Standard Double
7,Ullswater,Standard Double
8,Derwent,Standard Double
9,Bowness,Standard Double
10,Coniston,Standard Double
11,Thirlmere,Standard Double
12,Langdale,Standard Twin
14,Borrowdale,Standard Double
15,Loweswater,Standard Double
16,Grasmere,Standard Double
17,Scafell,Standard Double
18,Grizedale,Standard Double
19,Glenridding,Family
20,Castlerigg,Standard Double
21,Braithwaite,Standard Double
22,Graythwaite,Standard Twin
23,Crummock,Standard Double
